# amount, accuracy
0.000000000000000000e+00 8.449999999999999734e-01
2.033846540277325921e-02 8.449999999999999734e-01
4.067693080554651841e-02 8.437500000000000000e-01
6.101396904774137459e-02 8.437500000000000000e-01
8.135243445051464073e-02 8.412500000000000533e-01
1.016908998532878861e-01 8.412500000000000533e-01
1.220293652560611453e-01 8.412500000000000533e-01
1.423664034982560223e-01 8.425000000000000266e-01
1.627048689010292815e-01 8.412500000000000533e-01
1.830433343038025129e-01 8.399999999999999689e-01
2.033817997065757721e-01 8.425000000000000266e-01
2.237202651093490313e-01 8.337499999999999911e-01
2.440573033515439083e-01 8.349999999999999645e-01
2.643957687543171398e-01 8.412500000000000533e-01
2.847342341570904267e-01 8.312500000000000444e-01
3.050726995598636582e-01 8.337499999999999911e-01
3.254097378020585629e-01 8.362500000000000488e-01
3.457482032048317944e-01 8.312500000000000444e-01
3.660866686076050258e-01 8.312500000000000444e-01
3.864251340103783128e-01 8.362500000000000488e-01
4.067635994131515442e-01 8.449999999999999734e-01
4.271006376553464490e-01 8.399999999999999689e-01
4.474391030581196804e-01 8.362500000000000488e-01
4.677775684608929674e-01 8.299999999999999600e-01
4.881160338636661988e-01 8.212500000000000355e-01
5.084530721058611036e-01 8.175000000000000044e-01
5.287915375086342795e-01 8.249999999999999556e-01
5.491300029114075665e-01 8.262500000000000400e-01
5.694684683141808534e-01 8.162500000000000311e-01
5.898055065563756472e-01 8.100000000000000533e-01
6.101439719591489341e-01 7.837499999999999467e-01
6.304824373619222211e-01 7.562499999999999778e-01
6.508209027646955080e-01 7.462499999999999689e-01
6.711593681674686840e-01 7.312499999999999556e-01
6.914964064096635887e-01 6.975000000000000089e-01
7.118348718124368757e-01 5.787499999999999867e-01
7.321733372152100516e-01 5.437499999999999556e-01
7.525118026179833386e-01 5.212499999999999911e-01
7.728488408601782433e-01 4.212500000000000133e-01
7.931873062629515303e-01 3.937499999999999889e-01
8.135257716657247062e-01 3.712500000000000244e-01
8.338642370684979932e-01 3.599999999999999867e-01
8.542027024712712802e-01 2.987500000000000155e-01
8.745397407134660739e-01 3.012500000000000178e-01
8.948782061162393608e-01 3.225000000000000089e-01
9.152166715190126478e-01 2.537499999999999756e-01
9.355551369217859348e-01 2.762499999999999956e-01
9.558921751639807285e-01 2.399999999999999911e-01
9.762306405667540155e-01 2.600000000000000089e-01
9.965691059695273024e-01 2.500000000000000000e-01
